CURRENT_EPISODE_NUMBER, TOTAL_REWARD_AT_END_OF_THIS_EPISODE0 ,-135
1 ,390
2 ,-135
3 ,-135
4 ,-135
5 ,-135
6 ,-135
7 ,-135
8 ,420
9 ,-135
10 ,-135
11 ,-135
12 ,400
13 ,380
14 ,415
15 ,-135
16 ,-135
17 ,450
18 ,-135
19 ,-135
20 ,400
21 ,-135
22 ,440
23 ,375
24 ,-135
25 ,400
26 ,-135
27 ,365
28 ,425
29 ,390
30 ,-135
31 ,420
32 ,415
33 ,-135
34 ,460
35 ,-135
36 ,400
37 ,430
38 ,420
39 ,460
40 ,445
41 ,405
42 ,-135
43 ,400
44 ,-135
45 ,400
46 ,425
47 ,-135
48 ,365
49 ,440
50 ,-135
51 ,405
52 ,-135
53 ,450
54 ,455
55 ,-135
56 ,-135
57 ,380
58 ,415
59 ,450
60 ,415
61 ,410
62 ,-135
63 ,410
64 ,400
65 ,375
66 ,425
67 ,430
68 ,440
69 ,430
70 ,405
71 ,460
72 ,420
73 ,405
74 ,445
75 ,450
76 ,410
77 ,-135
78 ,420
79 ,410
80 ,-135
81 ,430
82 ,405
83 ,400
84 ,-135
85 ,460
86 ,425
87 ,-135
88 ,465
89 ,410
90 ,425
91 ,385
92 ,-135
93 ,405
94 ,445
95 ,420
96 ,395
97 ,380
98 ,395
99 ,-135
100 ,-135
101 ,430
102 ,415
103 ,410
104 ,430
105 ,-135
106 ,415
107 ,400
108 ,435
109 ,385
110 ,410
111 ,430
112 ,390
113 ,385
114 ,430
115 ,400
116 ,455
117 ,385
118 ,375
119 ,450
120 ,365
121 ,420
122 ,370
123 ,425
124 ,370
125 ,430
126 ,455
127 ,400
128 ,-135
129 ,450
130 ,-135
131 ,425
132 ,380
133 ,415
134 ,395
135 ,425
136 ,415
137 ,365
138 ,420
139 ,400
140 ,375
141 ,470
142 ,420
143 ,405
144 ,430
145 ,410
146 ,395
147 ,400
148 ,-135
149 ,435
150 ,385
151 ,420
152 ,390
153 ,-135
154 ,415
155 ,370
156 ,380
157 ,440
158 ,405
159 ,410
160 ,380
161 ,435
162 ,395
163 ,-135
164 ,-135
165 ,400
166 ,470
167 ,395
168 ,410
169 ,455
170 ,460
171 ,465
172 ,430
173 ,430
174 ,400
